Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
U.S. Citizen,Iowa State University,Mechanical Engineering,3.92,2018,Masters,Mechanical Engineering,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Materials Science and Engineering ,3.17,2019,Masters,Materials Science/Polymers Engineering,Industrial/Systems Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.77,2018,Masters,Environmental Engineering,Energy Engineering,Male,White
International,Iowa State University,Mechanical Engineering ,3.2,2017,Masters,Industrial/Systems Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,Iowa State University,Electrical Engineering,3.53,2020,Masters,Electrical Engineering,,Male,Asian
International,Iowa State University,Chemical Engineering,3.7,2018,Ph.D. with Masters,Agricultural Engineering,Chemical Engineering,Female,Asian
International,Iowa State University,Materials Engineering,3.54,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Human Computer-Interaction/Factors Engineering,Male,Asian
Permanent Resident,Iowa State University,Computer Engineering / Mathematics,3.28,2017,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.63,2019,Masters,Electrical Engineering,,Male,"Asian,White"
U.S. Citizen,Iowa State University,Software Engineering,3.84,2018,Masters,Computer Science/Engineering,Computer Engineering,Female,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.5,2018,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Iowa State University,Civil Engineering,3.93,2018,Masters,Structural Engineering,,Male,White
U.S. Citizen,Iowa State University,Computer Engineering,3.4,2019,Masters,Computer Engineering,Computer Science/Engineering,Female,White
U.S. Citizen,Iowa State University,Mechanical,3.86,2019,Masters,Biomedical Engineering,Tissue Engineering,Male,White
U.S. Citizen,Iowa State University,Civil Engineering,3.32,2019,Masters,Civil Engineering,Environmental Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering ,3.32,2019,Masters,Thermal and Fluid Propulsion Systems,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.86,2017,Ph.D. with Masters,Industrial/Systems Engineering,,Male,White
U.S. Citizen,Iowa State University,Biological Systems Engineering,3.8,2019,Masters,Coastal/Water Systems Engineering,Environmental Engineering,Prefer not to answer,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.3,2018,Masters,Industrial Engineering,Civil Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.84,2017,Masters,Mechanical Engineering,,Female,White
U.S. Citizen,Iowa State University,Computer Engineering and Mathematics,3.96,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.79,2019,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.33,2019,Masters,Industrial/Systems Engineering,,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering ,3.62,2019,Ph.D. with Masters,Neural Engineering,Medicine,Female,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.53,2018,Masters,Mechanical Engineering,Robotics Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.9,2018,Ph.D. with Masters,Chemical Engineering,Environmental Engineering,Male,White
U.S. Citizen,Iowa State University,Aerospace Engineering,3.44,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.5,2018,Online Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.88,2018,Masters,MBA,Bioengineering,,White
U.S. Citizen,Iowa State University,B.S. Mechanical Engineering,3.37,2019,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,Iowa State University,Materials Engineering,3.72,2018,Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering ,3.18,2019,Ph.D. with Masters,Chemical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.76,2018,Online Masters,Chemical Engineering,,Female,White
U.S. Citizen,Iowa State University,Software Engineering,3.73,2018,Masters,Computer Science/Engineering,Machine Learning,Female,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.8,2019,Masters,Biomedical Engineering,Robotics Engineering,Male,White
Permanent Resident,Iowa State University,Aerospace Engineering,3.66,2019,Masters,Aerospace Engineering,Systems/Signals Engineering,Male,White
U.S. Citizen,Iowa State University,software engineering,3.98,2019,Masters,Computer Science/Engineering,,Male,White
U.S. Citizen,Iowa State University,Ag Business and Biosystems Engineering,3.96,2020,Ph.D. with Masters,Orthopedic Medicine,Biomedical Engineering,Male,White
U.S. Citizen,Iowa State University,Industrial Engineering and German (LCP),3.87,2019,Masters,Operations Engineering,Financial Engineering,Female,White
U.S. Citizen,Iowa State University,Computer Engineering,3.66,2018,Ph.D. with Masters,Software Engineering,Computer Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.71,2017,Ph.D. with Masters,Chemical Engineering,Naval Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical engineering,3.82,2019,Masters,Energy Engineering,Environmental Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.33,2019,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.48,2019,Masters,Electrical Engineering,Energy Engineering,Female,White
U.S. Citizen,Iowa State University,Computer Engineering,3.15,2019,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.25,2019,Ph.D. with Masters,Chemical Engineering,,,White
Permanent Resident,Iowa State University,Aerospace Engineering and Mathematics,3.35,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.67,2019,Ph.D. with Masters,Chemical Engineering,Petroleum Engineering,Male,White
U.S. Citizen,Iowa State University,Agricultural Engineering ,3,2018,Masters,Environmental Engineering,Agricultural Engineering,Female,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.75,2018,Ph.D. with Masters,Neural Engineering,Acoustics,Male,White
Permanent Resident,Iowa State University,Electrical Engineering  ,3.65,2019,Ph.D. with Masters,Electrical Engineering,MBA,Male,Black/African American
International,Iowa State University,Mechanical Engineering,4,2020,Masters,Mechanical Engineering,Industrial/Systems Engineering,Female,Asian
U.S. Citizen,Iowa State University,Mechanical Engineering,3.93,2018,Masters,Environmental Engineering,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.38,2018,Ph.D. with Masters,Mechanical Engineering,Environmental Engineering,Male,"Hispanic,White"
U.S. Citizen,Iowa State University,Industrial Engineering,3.4,2017,Masters,Industrial/Systems Engineering,Financial Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.16,2019,Masters,MBA,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.95,2019,Masters,Mechanical Engineering,Agricultural Engineering,Male,White
U.S. Citizen,Iowa State University,Materials Engineering,3.58,2018,Ph.D. with Masters,Magnetic Materials Science,Automotive Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.67,2019,Masters,Electrical Engineering,,Male,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.43,2017,Ph.D. with Masters,Human Computer-Interaction/Factors Engineering,Statistics,Male,White
U.S. Citizen,Iowa State University,Aerospace Engineering,3.64,2019,Masters,Aerospace Engineering,Systems/Signals Engineering,Male:,White
U.S. Citizen,Iowa State University,Aerospace Engineering,3.79,2019,Ph.D. with Masters,Aerospace Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,Iowa State University,Aerospace Engineering,3.48,2018,Masters,Systems/Signals Engineering,Aerospace Engineering,Male,White
Permanent Resident,Iowa State University,Mechanical Engineering,3.13,2019,Masters,Automotive Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Computer Engineering,3.98,2020,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical engineering ,3.2,2018,Masters,Mechanical Engineering,Coastal/Water Systems Engineering,Male,White
Permanent Resident,Iowa State University,Chemical Engineering,3.44,2017,Ph.D. with Masters,Biomedical Engineering,Materials Science/Polymers Engineering,Female,Black/African American
U.S. Citizen,Iowa State University,Civil Engineering,3.95,2019,Masters,Structural Engineering,,Male,White
U.S. Citizen,Iowa State University,Computer Engineering and Music double major,3.69,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.04,2019,Masters,Mechanical Engineering,Other (write in),Male,White
U.S. Citizen,Iowa State University,Computer Engineering,3.31,2018,Masters,Human Computer-Interaction/Factors Engineering,Computer Science/Engineering,Female,White
U.S. Citizen,Iowa State University,Mechanical Engineering ,4,2018,Masters,Mechanical Engineering,,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.84,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.65,2020,Masters,Robotics Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Iowa State University,Civil Engineering,3.8,2019,Masters,Structural Engineering,Civil Engineering,Female,White
Permanent Resident,Iowa State University,Mechanical Engineering,3.45,2018,Ph.D. with Masters,Mechanical Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,Iowa State University,Materials Science and Engineering,3.14,2019,Masters,Textiles/Polymer Engineering,Materials Science/Polymers Engineering,Female,Hispanic
U.S. Citizen,Iowa State University,Software Engineering,3.87,2019,Masters,Computer Engineering,Cyber Security,Male,Hispanic
U.S. Citizen,Iowa State University,Industrial Engineering,4,2019,Masters,Biomedical Engineering,Human Computer-Interaction/Factors Engineering,Male,Hispanic
Permanent Resident,Iowa State University,Industrial engineering,3.85,2018,Masters,Industrial/Systems Engineering,Financial Engineering,Female,"Asian,White"
U.S. Citizen,Iowa State University,Mechanical Engineering,3.71,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
Permanent Resident,Iowa State University,Chemical Engineering and Mathematics,4,2020,Ph.D. with Masters,Chemical Engineering,,Female,Asian
U.S. Citizen,Iowa State University,Mechanical Engineering,3.49,2019,Masters,Nuclear Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering ,3.07,2018,Masters,Nanoscience Engineering,Automotive Engineering,Male,White
U.S. Citizen,Iowa State University,Chemical Engineering,3.21,2019,Ph.D. with Masters,Nuclear Engineering,Chemical Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineer,3.4,2018,Masters,Mechanical Engineering,Computer Science/Engineering,Male,White
International,Iowa State University,Civil engineering ,3,2019,Masters,Civil Engineering,Environmental Engineering,Male,Asian
U.S. Citizen,Iowa State University,Aerospace Engineering,3.98,2019,Ph.D. with Masters,Aerospace Engineering,Financial Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.82,2019,Masters,Mechanical Engineering,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Materials Engineering,3.06,2017,Ph.D. with Masters,Materials Science/Polymers Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Iowa State University,Biological Systems Engineering-Environmental Option and Global Resource Systems,3.09,2020,Masters,Environmental Engineering,Biological Engineering,Female,White
U.S. Citizen,Iowa State University,Mechanical Engineering,4,2018,Masters,Mechanical Engineering,Automotive Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.14,2019,Masters,Electrical Engineering,Computer Science/Engineering,Male,Black/African American
U.S. Citizen,Iowa State University,Mechanical engineering ,3.13,2019,Masters,Mechanical Engineering,Operations Engineering,Female,Asian
U.S. Citizen,Iowa State University,Computer Engineering,3.9,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical engineering,3.14,2018,Masters,Robotics Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Biosystems Engineering,3.4,2019,Masters,Biological Engineering,Energy Engineering,Female,White
